Precinct,Tim O'Connell,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 4-D,452,452,0,344,796
HUB 5-A,437,437,0,307,744
HUB 5-B,420,420,0,326,746
HUB 5-C,393,393,0,356,749
HUB 5-D,429,429,0,342,771
HUB 6-A,338,338,0,300,638
HUB 6-B,469,469,0,396,865
HUB 6-C,442,442,0,366,808
HUB 6-D,402,402,0,359,761
JAKTWP-A,427,427,0,532,959
JAKTWP-B,303,303,0,369,672
JEFTWP-A,465,465,0,474,939
JEFTWP-B,307,307,0,243,550
JEFTWP-C,334,334,0,360,694
JEFTWP-D,419,419,0,264,683
JNLB-A,229,229,0,250,479
JNLB-B,361,361,0,386,747
KT 1-A,360,360,0,297,657
KT 1-B,314,314,0,338,652
KT 1-C,429,429,0,445,874
KT 1-D,467,467,0,376,843
KT 1-E,348,348,0,334,682
KT 1-F,332,332,0,335,667
KT 1-G,351,351,0,358,709
KT 1-H,482,482,0,430,912
KT 1-I,425,425,0,358,783
KT 2-A,384,384,0,382,766
KT 2-B,400,400,0,339,739
KT 2-C,422,422,0,371,793
KT 2-D,483,483,0,390,873
KT 2-E,449,449,0,360,809
KT 2-F,370,370,0,294,664
KT 2-G,502,502,0,528,1030
KT 2-H,415,415,0,458,873
KT 2-I,352,352,0,308,660
KT 2-J,319,319,0,235,554
KT 3-A,447,447,0,381,828
KT 3-B,448,448,0,365,813
KT 3-C,415,415,0,377,792
KT 3-D,372,372,0,330,702
KT 3-E,440,440,0,406,846
KT 3-F,360,360,0,324,684
KT 3-G,404,404,0,275,679
KT 3-H,447,447,0,360,807
KT 3-I,348,348,0,340,688
KT 3-J,375,375,0,296,671
KT 3-K,491,491,0,455,946
KT 4-A,494,494,0,428,922
KT 4-B,498,498,0,441,939
KT 4-C,296,296,0,267,563
KT 4-D,433,433,0,381,814
KT 4-E,347,347,0,384,731
KT 4-F,413,413,0,357,770
KT 4-G,532,532,0,464,996
KT 4-H,369,369,0,310,679
KT 4-I,453,453,0,395,848
KT 4-J,414,414,0,352,766
KT 4-K,439,439,0,352,791
MBG 1-A,431,431,0,469,900
MBG 1-B,446,446,0,413,859
MBG 1-C,428,428,0,348,776
MBG 2-A,302,302,0,308,610
MBG 2-B,403,403,0,404,807
MBG 2-C,437,437,0,424,861
MBG 3-A,346,346,0,250,596
MBG 3-B,389,389,0,406,795
MBG 3-C,367,367,0,328,695
MBG 3-D,443,443,0,400,843
MBG 4-A,385,385,0,355,740
MBG 4-B,332,332,0,330,662
MBG 4-C,328,328,0,269,597
MBG 4-D,574,574,0,526,1100
MIATWP-A,408,408,0,408,816
MIATWP-B,352,352,0,366,718
MIATWP-C,402,402,0,439,841
MIATWP-D,332,332,0,377,709
MIATWP-E,481,481,0,490,971
MIATWP-F,428,428,0,327,755
MIATWP-G,357,357,0,323,680
MIATWP-H,374,374,0,329,703
MIATWP-I,214,214,0,215,429
MIATWP-J,316,316,0,381,697
MIATWP-K,466,466,0,473,939
MIATWP-L,300,300,0,316,616
MIATWP-M,388,388,0,313,701
MIATWP-N,405,405,0,396,801
MIATWP-O,392,392,0,358,750
MIATWP-P,291,291,0,233,524
MIATWP-Q,435,435,0,361,796
MIATWP-R,227,227,0,201,428
MIATWP-S,368,368,0,383,751
MIATWP-T,311,311,0,314,625
MIATWP-U,319,319,0,284,603
MIATWP-V,368,368,0,369,737
MOR 1-A,228,228,0,236,464
MOR 2-A,452,452,0,382,834
MOR 3-A,256,256,0,271,527
MOR 4-A,252,252,0,215,467
MOR 4-B,209,209,0,175,384
OAK-A,458,458,0,375,833
OAK-B,450,450,0,377,827
OAK-C,340,340,0,341,681
OAK-D,371,371,0,313,684
OAK-E,365,365,0,337,702
OAK-F,471,471,0,398,869
OAK-G,407,407,0,347,754
OAK-H,303,303,0,307,610
PERTWP-A,270,270,0,328,598
PERTWP-B,304,304,0,349,653
PERTWP-C,341,341,0,427,768
PHBG,132,132,0,105,237
PM,285,285,0,242,527
PNLB,274,274,0,257,531
RV-A,361,361,0,309,670
RV-B,266,266,0,294,560
RV-C,373,373,0,335,708
RV-D,346,346,0,382,728
RV-E,314,314,0,306,620
RV-F,311,311,0,290,601
RV-G,288,288,0,251,539
RV-H,197,197,0,165,362
RV-I,266,266,0,260,526
RV-J,288,288,0,224,512
RV-K,349,349,0,342,691
RV-L,207,207,0,214,421
RV-M,402,402,0,314,716
RV-N,269,269,0,253,522
RV-O,383,383,0,334,717
RV-P,427,427,0,330,757
TR 1-A,434,434,0,300,734
TR 1-B,239,239,0,167,406
TR 1-C,318,318,0,217,535
TR 1-D,285,285,0,155,440
TR 1-E,443,443,0,288,731
TR 2-A,380,380,0,232,612
TR 2-B,401,401,0,308,709
TR 2-C,301,301,0,218,519
TR 2-D,252,252,0,179,431
TR 2-E,331,331,0,175,506
TR 3-A,272,272,0,200,472
TR 3-B,318,318,0,292,610
TR 3-C,255,255,0,215,470
TR 3-D,375,375,0,308,683
TR 4-A,409,409,0,261,670
TR 4-B,330,330,0,233,563
TR 4-C,293,293,0,156,449
TR 4-D,290,290,0,180,470
UN-A,262,262,0,217,479
UN-B,398,398,0,319,717
UN-C,410,410,0,388,798
UN-D,483,483,0,361,844
UN-E,407,407,0,420,827
VD-A,361,361,0,355,716
VD-B,261,261,0,184,445
VD-C,443,443,0,395,838
VD-D,406,406,0,335,741
VD-E,286,286,0,264,550
VD-F,462,462,0,388,850
VD-G,312,312,0,351,663
VD-H,473,473,0,432,905
VD-I,383,383,0,371,754
VD-J,469,469,0,483,952
VD-K,489,489,0,389,878
WASTWP-A,386,386,0,392,778
WASTWP-B,571,571,0,515,1086
WASTWP-C,430,430,0,465,895
WASTWP-D,337,337,0,320,657
WASTWP-E,473,473,0,447,920
WASTWP-F,316,316,0,285,601
WASTWP-G,508,508,0,492,1000
WASTWP-H,410,410,0,399,809
WASTWP-I,357,357,0,316,673
WASTWP-J,445,445,0,423,868
WASTWP-K,395,395,0,424,819
WASTWP-L,353,353,0,375,728
WASTWP-M,468,468,0,469,937
WASTWP-N,449,449,0,395,844
WASTWP-O,438,438,0,443,881
WASTWP-P,514,514,0,476,990
WASTWP-Q,504,504,0,466,970
WASTWP-R,390,390,0,321,711
WASTWP-S,345,345,0,397,742
WASTWP-T,394,394,0,346,740
WASTWP-U,437,437,0,442,879
WASTWP-V,406,406,0,434,840
WASTWP-W,307,307,0,288,595
WASTWP-X,383,383,0,326,709
WASTWP-Y,602,602,0,506,1108
WASTWP-Z,401,401,0,359,760
WASTWP-AA,405,405,0,423,828
WASTWP-BB,324,324,0,300,624
WASTWP-CC,483,483,0,545,1028
WCR-A,345,345,0,358,703
WCR-B,375,375,0,361,736
WCR-C,377,377,0,377,754
WCR-D,351,351,0,385,736
WCR-E,268,268,0,212,480
WCR-F,301,301,0,270,571
WCR-G,392,392,0,363,755
WCR-H,345,345,0,372,717
WCR-I,285,285,0,234,519
