Precinct,Kim Melnick,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 4-D,412,412,0,384,796
HUB 5-A,397,397,0,347,744
HUB 5-B,379,379,0,367,746
HUB 5-C,353,353,0,396,749
HUB 5-D,386,386,0,385,771
HUB 6-A,306,306,0,332,638
HUB 6-B,436,436,0,429,865
HUB 6-C,404,404,0,404,808
HUB 6-D,379,379,0,382,761
JAKTWP-A,381,381,0,578,959
JAKTWP-B,293,293,0,379,672
JEFTWP-A,374,374,0,565,939
JEFTWP-B,224,224,0,326,550
JEFTWP-C,290,290,0,404,694
JEFTWP-D,266,266,0,417,683
JNLB-A,215,215,0,264,479
JNLB-B,331,331,0,416,747
KT 1-A,305,305,0,352,657
KT 1-B,300,300,0,352,652
KT 1-C,422,422,0,452,874
KT 1-D,435,435,0,408,843
KT 1-E,336,336,0,346,682
KT 1-F,315,315,0,352,667
KT 1-G,321,321,0,388,709
KT 1-H,433,433,0,479,912
KT 1-I,420,420,0,363,783
KT 2-A,372,372,0,394,766
KT 2-B,389,389,0,350,739
KT 2-C,402,402,0,391,793
KT 2-D,440,440,0,433,873
KT 2-E,429,429,0,380,809
KT 2-F,350,350,0,314,664
KT 2-G,489,489,0,541,1030
KT 2-H,415,415,0,458,873
KT 2-I,351,351,0,309,660
KT 2-J,269,269,0,285,554
KT 3-A,375,375,0,453,828
KT 3-B,395,395,0,418,813
KT 3-C,402,402,0,390,792
KT 3-D,342,342,0,360,702
KT 3-E,421,421,0,425,846
KT 3-F,337,337,0,347,684
KT 3-G,365,365,0,314,679
KT 3-H,405,405,0,402,807
KT 3-I,334,334,0,354,688
KT 3-J,339,339,0,332,671
KT 3-K,471,471,0,475,946
KT 4-A,432,432,0,490,922
KT 4-B,413,413,0,526,939
KT 4-C,257,257,0,306,563
KT 4-D,389,389,0,425,814
KT 4-E,320,320,0,411,731
KT 4-F,367,367,0,403,770
KT 4-G,490,490,0,506,996
KT 4-H,336,336,0,343,679
KT 4-I,403,403,0,445,848
KT 4-J,365,365,0,401,766
KT 4-K,371,371,0,420,791
MBG 1-A,389,389,0,511,900
MBG 1-B,418,418,0,441,859
MBG 1-C,402,402,0,374,776
MBG 2-A,270,270,0,340,610
MBG 2-B,404,404,0,403,807
MBG 2-C,432,432,0,429,861
MBG 3-A,310,310,0,286,596
MBG 3-B,356,356,0,439,795
MBG 3-C,326,326,0,369,695
MBG 3-D,415,415,0,428,843
MBG 4-A,373,373,0,367,740
MBG 4-B,343,343,0,319,662
MBG 4-C,320,320,0,277,597
MBG 4-D,567,567,0,533,1100
MIATWP-A,367,367,0,449,816
MIATWP-B,315,315,0,403,718
MIATWP-C,365,365,0,476,841
MIATWP-D,310,310,0,399,709
MIATWP-E,524,524,0,447,971
MIATWP-F,393,393,0,362,755
MIATWP-G,318,318,0,362,680
MIATWP-H,343,343,0,360,703
MIATWP-I,197,197,0,232,429
MIATWP-J,313,313,0,384,697
MIATWP-K,449,449,0,490,939
MIATWP-L,275,275,0,341,616
MIATWP-M,361,361,0,340,701
MIATWP-N,388,388,0,413,801
MIATWP-O,371,371,0,379,750
MIATWP-P,273,273,0,251,524
MIATWP-Q,396,396,0,400,796
MIATWP-R,205,205,0,223,428
MIATWP-S,340,340,0,411,751
MIATWP-T,295,295,0,330,625
MIATWP-U,284,284,0,319,603
MIATWP-V,352,352,0,385,737
MOR 1-A,211,211,0,253,464
MOR 2-A,408,408,0,426,834
MOR 3-A,239,239,0,288,527
MOR 4-A,230,230,0,237,467
MOR 4-B,183,183,0,201,384
OAK-A,392,392,0,441,833
OAK-B,413,413,0,414,827
OAK-C,287,287,0,394,681
OAK-D,320,320,0,364,684
OAK-E,303,303,0,399,702
OAK-F,410,410,0,459,869
OAK-G,353,353,0,401,754
OAK-H,284,284,0,326,610
PERTWP-A,246,246,0,352,598
PERTWP-B,284,284,0,369,653
PERTWP-C,329,329,0,439,768
PHBG,119,119,0,118,237
PM,276,276,0,251,527
PNLB,250,250,0,281,531
RV-A,314,314,0,356,670
RV-B,252,252,0,308,560
RV-C,335,335,0,373,708
RV-D,327,327,0,401,728
RV-E,279,279,0,341,620
RV-F,289,289,0,312,601
RV-G,252,252,0,287,539
RV-H,173,173,0,189,362
RV-I,244,244,0,282,526
RV-J,276,276,0,236,512
RV-K,336,336,0,355,691
RV-L,197,197,0,224,421
RV-M,372,372,0,344,716
RV-N,236,236,0,286,522
RV-O,341,341,0,376,717
RV-P,400,400,0,357,757
TR 1-A,316,316,0,418,734
TR 1-B,155,155,0,251,406
TR 1-C,201,201,0,334,535
TR 1-D,194,194,0,246,440
TR 1-E,291,291,0,440,731
TR 2-A,266,266,0,346,612
TR 2-B,286,286,0,423,709
TR 2-C,179,179,0,340,519
TR 2-D,189,189,0,242,431
TR 2-E,183,183,0,323,506
TR 3-A,202,202,0,270,472
TR 3-B,268,268,0,342,610
TR 3-C,197,197,0,273,470
TR 3-D,257,257,0,426,683
TR 4-A,243,243,0,427,670
TR 4-B,226,226,0,337,563
TR 4-C,187,187,0,262,449
TR 4-D,196,196,0,274,470
UN-A,246,246,0,233,479
UN-B,358,358,0,359,717
UN-C,389,389,0,409,798
UN-D,440,440,0,404,844
UN-E,383,383,0,444,827
VD-A,342,342,0,374,716
VD-B,255,255,0,190,445
VD-C,422,422,0,416,838
VD-D,389,389,0,352,741
VD-E,286,286,0,264,550
VD-F,431,431,0,419,850
VD-G,294,294,0,369,663
VD-H,460,460,0,445,905
VD-I,382,382,0,372,754
VD-J,449,449,0,503,952
VD-K,486,486,0,392,878
WASTWP-A,388,388,0,390,778
WASTWP-B,559,559,0,527,1086
WASTWP-C,412,412,0,483,895
WASTWP-D,321,321,0,336,657
WASTWP-E,445,445,0,475,920
WASTWP-F,291,291,0,310,601
WASTWP-G,473,473,0,527,1000
WASTWP-H,371,371,0,438,809
WASTWP-I,328,328,0,345,673
WASTWP-J,403,403,0,465,868
WASTWP-K,370,370,0,449,819
WASTWP-L,306,306,0,422,728
WASTWP-M,445,445,0,492,937
WASTWP-N,407,407,0,437,844
WASTWP-O,397,397,0,484,881
WASTWP-P,510,510,0,480,990
WASTWP-Q,493,493,0,477,970
WASTWP-R,386,386,0,325,711
WASTWP-S,343,343,0,399,742
WASTWP-T,347,347,0,393,740
WASTWP-U,462,462,0,417,879
WASTWP-V,375,375,0,465,840
WASTWP-W,274,274,0,321,595
WASTWP-X,374,374,0,335,709
WASTWP-Y,559,559,0,549,1108
WASTWP-Z,402,402,0,358,760
WASTWP-AA,388,388,0,440,828
WASTWP-BB,297,297,0,327,624
WASTWP-CC,449,449,0,579,1028
WCR-A,331,331,0,372,703
WCR-B,342,342,0,394,736
WCR-C,382,382,0,372,754
WCR-D,356,356,0,380,736
WCR-E,222,222,0,258,480
WCR-F,267,267,0,304,571
WCR-G,359,359,0,396,755
WCR-H,366,366,0,351,717
WCR-I,252,252,0,267,519
